"cust_id_pk","cust_bch_id_fk","cust_name","cust_code","cust_cntry_idfk","cust_tbl_status"
"1","1","DEIF A/S","DKDE0001","59","Active"
"2","1","TIMESCAN LOGISTICS INDIA PRIVATE LIMITED","INTI0001","105","Active"
"3","1","SHORELINE EXPRESS, INC","USSH0001","233","Active"
"4","1","CN LOGISTICS INTERNATIONAL HOLDINGS LIMITED","HKCN0001","95","Active"
"5","1","EXPRESS AIR FREIGHT (HK) LTD.","HKEX0002","95","Active"
"6","1","A&N INTERNATIONAL LOGISTICS","USA&0002","233","Active"
"7","1","B2B TRANSPORT","USB20003","233","Active"
"8","1","AMERITRANS FREIGHT INTERNATIONAL","USAM0004","233","Active"
"9","1","SEABORNE INTERNATIONAL, INC","USSE0005","233","Active"
"10","1","PBV SHIPPING USA INC.","USPB0006","233","Active"
"11","1","MARS SHIPPING SERVICES","BHMA0001","23","Active"
"12","1","MARS SHIPPING SERVICES","SAMA0001","193","Active"
"13","1","LINK INDIA LOGISTICS","INLI0002","105","Active"
"14","1","MARS SHIPPING SERVICES","INMA0003","105","Active"
"15","1","CARGOMAR SHIPPING AND LOGISTICS","INCA0004","105","Active"
"16","1","NEXUS FREIGHT","INNE0005","105","Active"
"17","1","SEAFREIGHT SHIPPING AGENCY","INSE0006","105","Active"
"18","1","EXPEDITORS INTERNATIONAL INDIA PRIVATE LTD","INEX0007","105","Active"
"19","1","TEAM GLOBAL LOGISTICS PVT LTD","INTE0008","105","Active"
"20","1","ALLCARGO LOGISTICS LTD","INAL0009","105","Active"
"21","1","YUSEN LOGISTICS (INDIA) PRIVATE LIMITED","INYU0010","105","Active"
"22","1","SMART SHIPPING SERVICESS","INSM0011","105","Active"
"23","1","MI EXPORTS","INMI0012","105","Active"
"24","1","GG EXPORTS","INGG0013","105","Active"
"25","1","MABARA MANUFACTURING COMPANY","INMA0014","105","Active"
"26","1","R K STEEL MANUFACTURING COMPANY PRIVATE LIMITED","INR 0015","105","Active"
"27","1","J. V. CANDY COMPANY","INJ.0016","105","Active"
"28","1","VASU CHEMICAL INDUSTRIES","INVA0017","105","Active"
"29","1","MADRAS ENGINEERING INDUSTRIES PVT LTD","INMA0018","105","Active"
"30","1","HABIB LEATHER MANUFACTURING COMPANY","INHA0019","105","Active"
"31","1","HABIB LEATHER MANUFACTURING COMPANY","USHA0007","233","Active"
"32","1","HP LOGISTICS","DKHP0002","59","Active"
"33","1","BABU AND CO","INBA0020","105","Active"
"34","1","LOGWING","LO0001","0","Active"
"35","1","LOGWING","CNLO0001","48","Active"
"36","1","LOGWINGS","CNLO0002","48","Active"
"37","1","XYZ COMPANY","INXY0021","105","Active"
"38","1","ADDRESS","ALAD0001","6","Active"
"39","1","HANNAN","INHA0022","105","Active"
"40","1","TAMIL","IOTA0001","106","Active"
